resource_region,tech,RetireYear,cap
1,wind-ons,2100,6.0
4,wind-ons,2100,463.3
5,wind-ons,2100,1044.3999999999999
9,wind-ons,2100,639.1
16,wind-ons,2100,2101.2000000000003
20,wind-ons,2100,101.2
25,wind-ons,2100,670.4
26,wind-ons,2100,1.5
30,wind-ons,2100,777.5999999999999
32,wind-ons,2100,50.0
33,wind-ons,2100,482.79999999999995
44,wind-ons,2100,75.0
46,wind-ons,2100,88.2
47,wind-ons,2100,189.0
48,wind-ons,2100,203.5
49,wind-ons,2100,18.9
54,wind-ons,2100,128.1
64,wind-ons,2100,214.60000000000002
66,wind-ons,2100,135.0
71,wind-ons,2100,285.0
74,wind-ons,2100,1122.3000000000002
82,wind-ons,2100,3.8
84,wind-ons,2100,1.8
85,wind-ons,2100,1049.2
86,wind-ons,2100,51.0
87,wind-ons,2100,242.5
89,wind-ons,2100,102.4
92,wind-ons,2100,100.0
93,wind-ons,2100,90.0
96,wind-ons,2100,30.0
98,wind-ons,2100,19.5
99,wind-ons,2100,652.5
100,wind-ons,2100,336.79999999999995
101,wind-ons,2100,180.0
102,wind-ons,2100,320.4
110,wind-ons,2100,119.1
112,wind-ons,2100,359.4
116,wind-ons,2100,59.4
118,wind-ons,2100,81.0
119,wind-ons,2100,61.400000000000006
120,wind-ons,2100,3.3
121,wind-ons,2100,24.4
122,wind-ons,2100,3.4
123,wind-ons,2100,1116.8999999999994
125,wind-ons,2100,25.0
128,wind-ons,2100,46.2
132,wind-ons,2100,2070.6
133,wind-ons,2100,76.80000000000001
134,wind-ons,2100,402.0
135,wind-ons,2100,99.0
136,wind-ons,2100,373.0
137,wind-ons,2100,450.3
139,wind-ons,2100,150.0
144,wind-ons,2100,458.5
148,wind-ons,2100,407.40000000000003
149,wind-ons,2100,57.0
150,wind-ons,2100,656.8
153,wind-ons,2100,1056.5
154,wind-ons,2100,324.3
156,wind-ons,2100,99.2
163,wind-ons,2100,553.0
164,wind-ons,2100,880.2
165,wind-ons,2100,3585.4
166,wind-ons,2100,2131.7
167,wind-ons,2100,742.3
168,wind-ons,2100,112.5
172,wind-ons,2100,150.0
174,wind-ons,2100,1065.8999999999999
176,wind-ons,2100,897.9000000000001
177,wind-ons,2100,321.4
178,wind-ons,2100,503.0
180,wind-ons,2100,192.5
193,wind-ons,2100,271.7
194,wind-ons,2100,2.0
197,wind-ons,2100,20.9
199,wind-ons,2100,453.4
200,wind-ons,2100,286.4
201,wind-ons,2100,1.7
203,wind-ons,2100,100.5
207,wind-ons,2100,812.0
208,wind-ons,2100,396.0
214,wind-ons,2100,60.8
218,wind-ons,2100,121.8
221,wind-ons,2100,1337.7
226,wind-ons,2100,2.0
227,wind-ons,2100,7.2
249,wind-ons,2100,100.5
250,wind-ons,2100,330.0
253,wind-ons,2100,70.0
281,wind-ons,2100,29.099999999999998
318,wind-ons,2100,2.0
322,wind-ons,2100,420.7
323,wind-ons,2100,165.0
324,wind-ons,2100,24.0
325,wind-ons,2100,128.0
332,wind-ons,2100,7.5
333,wind-ons,2100,365.1
334,wind-ons,2100,76.0
335,wind-ons,2100,125.0
337,wind-ons,2100,322.0
338,wind-ons,2100,385.5
347,wind-ons,2100,3.0
348,wind-ons,2100,3.0
349,wind-ons,2100,3.2
352,wind-ons,2100,5.2
354,wind-ons,2100,24.0
355,wind-ons,2100,174.0
356,wind-ons,2100,91.5
