tech,pca,cap
pumped-hydro,p10,1623.0
pumped-hydro,p103,2288.0
pumped-hydro,p122,1583.0
pumped-hydro,p126,420.0
pumped-hydro,p127,1408.6
pumped-hydro,p131,1834.0
pumped-hydro,p132,29.4
pumped-hydro,p28,216.3
pumped-hydro,p33,599.1
pumped-hydro,p4,314.0
pumped-hydro,p51,258.0
pumped-hydro,p55,186.0
pumped-hydro,p71,31.0
pumped-hydro,p73,440.0
pumped-hydro,p85,28.0
pumped-hydro,p9,1655.6
pumped-hydro,p92,1616.3
pumped-hydro,p94,1862.2
pumped-hydro,p95,2400.0
pumped-hydro,p96,576.0
pumped-hydro,p97,86.0
pumped-hydro,p99,3241.0
