resource_region,cap
4,272.6
5,994.3999999999999
9,639.1
16,1769.5000000000002
25,633.6
30,833.4999999999999
32,50.0
33,584.1999999999999
44,52.5
46,29.4
47,64.5
48,203.5
49,18.9
54,63.0
64,214.60000000000002
66,135.0
71,285.0
74,811.3000000000004
85,1049.2
87,242.5
92,100.0
93,90.0
96,30.0
99,652.5
100,197.6
101,180.0
102,258.0
110,119.1
112,50.4
116,59.4
118,81.0
119,1.4
120,3.3
121,4.4
122,3.4
123,923.9999999999993
125,25.0
128,46.2
132,2070.6
133,76.80000000000001
134,402.0
135,99.0
136,312.5
137,450.3
139,150.0
144,308.5
148,407.40000000000003
149,57.0
150,646.8
153,805.5
154,324.3
163,553.0
164,955.2
165,3585.4
166,2131.7
167,742.3
168,112.5
174,664.8
176,749.1000000000001
177,321.4
178,500.0
180,189.5
193,271.90000000000003
194,2.0
197,1.8
199,453.4
200,286.4
201,1.7
203,100.5
207,312.0
208,396.0
214,60.8
218,121.8
221,1036.5
227,7.2
250,330.0
281,29.099999999999998
322,420.7
323,165.0
324,24.0
325,128.0
332,7.5
333,365.1
334,76.0
335,125.0
337,322.0
338,385.5
348,3.0
349,1.5
352,5.2
354,24.0
355,108.0
356,66.0
