Plant_Name,tech,NukeRetireBin
Arkansas Nuclear One,nuclear,2
Beaver Valley,nuclear,1
Braidwood Generation Station,nuclear,1
Browns Ferry,nuclear,2
Brunswick Nuclear,nuclear,2
Byron Generating Station,nuclear,1
Callaway,nuclear,1
Calvert Cliffs Nuclear Power Plant,nuclear,1
Catawba,nuclear,2
Clinton Power Station,nuclear,1
Columbia Generating Station,nuclear,1
Comanche Peak,nuclear,1
Cooper Nuclear Station,nuclear,1
Davis Besse,nuclear,1
Diablo Canyon,nuclear,2
Donald C Cook,nuclear,2
Dresden Generating Station,nuclear,1
Duane Arnold Energy Center,nuclear,1
Edwin I Hatch,nuclear,1
Fermi,nuclear,1
Grand Gulf,nuclear,1
H B Robinson,nuclear,1
Harris,nuclear,1
Indian Point 2,nuclear,1
Indian Point 3,nuclear,1
James A Fitzpatrick,nuclear,1
Joseph M Farley,nuclear,2
LaSalle Generating Station,nuclear,1
Limerick,nuclear,1
McGuire,nuclear,2
Millstone,nuclear,1
Monticello Nuclear Facility,nuclear,1
Nine Mile Point Nuclear Station,nuclear,1
North Anna,nuclear,2
Oconee,nuclear,2
Palisades,nuclear,1
Palo Verde,nuclear,2
Peach Bottom,nuclear,1
Perry,nuclear,1
Point Beach Nuclear Plant,nuclear,1
Prairie Island,nuclear,2
PSEG Hope Creek Generating Station,nuclear,1
PSEG Salem Generating Station,nuclear,1
Quad Cities Generating Station,nuclear,1
R E Ginna Nuclear Power Plant,nuclear,1
River Bend,nuclear,1
Seabrook,nuclear,2
Sequoyah,nuclear,2
South Texas Project,nuclear,2
St Lucie,nuclear,2
Surry,nuclear,2
TalenEnergy Susquehanna,nuclear,2
Turkey Point,nuclear,2
V C Summer,nuclear,1
Vogtle,nuclear,2
Waterford 3,nuclear,1
Watts Bar Nuclear Plant,nuclear,1
Wolf Creek Generating Station,nuclear,1
Crystal River,nuclear,1
Fort Calhoun,nuclear,1
Kewaunee,nuclear,1
Oyster Creek,nuclear,1
Pilgrim Nuclear Powe,nuclear,1
San Onofre Nuclear G,nuclear,2
Three Mile Island,nuclear,1
Vermont Yankee,nuclear,1
