count,mean,std,min,25%,50%,75%,max,tech,model,value
442.0,18.591074660633453,7.454867130485197,10.329,10.754000000000001,14.538,25.956,33.257,CoalOldScr,ReEDS,FOM
923.0,18.1998959913327,7.671314031484292,3.6639999999999997,11.741,14.538,21.9375,47.426,CoalOldUns,ReEDS,FOM
2014.0,16.413175769612288,4.792128888038568,9.038,15.852,15.852,15.852,63.456,DUPV,ReEDS,FOM
1317.0,15.338508731966648,2.035271540241008,3.2569999999999997,15.852,15.852,15.852,23.389,UPV,ReEDS,FOM
115.0,18.57007826086959,4.340271557814786,2.394,18.824,18.824,18.824,52.808,battery,ReEDS,FOM
256.0,77.80067187500009,46.11962685156071,12.232999999999999,60.342,60.342,91.00275,244.58700000000002,biopower,ReEDS,FOM
7.0,21.293285714285712,12.356836943089247,6.23,13.5595,19.111,29.322499999999998,37.948,coal-IGCC,ReEDS,FOM
547.0,18.153307129798876,7.98574647130958,3.6639999999999997,10.754000000000001,14.538,25.956,37.37,coal-new,ReEDS,FOM
36.0,49.50213888888891,14.27889937565773,32.592,38.391,42.96,55.401,82.40899999999999,csp-ns,ReEDS,FOM
2131.0,7.209404035663996,3.5952760685347847,1.662,4.152,8.987,9.968,24.436999999999998,gas-CC,ReEDS,FOM
3449.0,2.902335459553387,3.232723564173834,0.307,1.121,1.23,3.795,10.54,gas-CT,ReEDS,FOM
230.0,68.95123478260875,32.03044225300056,31.888,47.313,62.314499999999995,75.406,248.722,geothermal,ReEDS,FOM
3930.0,11.769797201017768,5.12736887431242,6.229,8.072000000000001,10.307,13.988,46.70399999999999,hydro,ReEDS,FOM
1897.0,219.4619815498206,123.22397160447387,27.428,127.852,224.4,277.492,644.679,lfill-gas,ReEDS,FOM
192.0,76.15744791666661,14.627535592338397,52.75899999999999,66.21325,73.86500000000001,81.5175,124.414,nuclear,ReEDS,FOM
3919.0,3.5679734626177977,5.329345767029281,0.0,1.23,1.23,4.346,28.706,o-g-s,ReEDS,FOM
187.0,12.124347593582895,6.610937445280423,2.6039999999999996,7.1145,10.283,15.939,40.791,pumped-hydro,ReEDS,FOM
8.0,42.273,0.0,42.273,42.273,42.273,42.273,42.273,wind-ofs,ReEDS,FOM
1439.0,22.416872133426104,11.891482819641988,1.9,15.094000000000001,22.593000000000004,23.726999999999997,71.929,wind-ons,ReEDS,FOM
277.0,37.8401523465704,4.071461075019885,28.9835,38.4435,39.1491,39.7423,43.4956,CoalOldScr,NEEDS,FOM
471.0,37.67568131634819,5.563802476340736,28.9835,33.2277,35.4163,42.9536,44.8558,CoalOldUns,NEEDS,FOM
1787.0,28.62550000000017,1.7057799073495652e-13,28.6255,28.6255,28.6255,28.6255,28.6255,DUPV,NEEDS,FOM
1056.0,28.625499999999263,7.357601853249129e-13,28.6255,28.6255,28.6255,28.6255,28.6255,UPV,NEEDS,FOM
115.0,30.61979999999997,3.2114355607561926e-14,30.6198,30.6198,30.6198,30.6198,30.6198,battery,NEEDS,FOM
199.0,137.5743000000002,1.9945373721582972e-13,137.5743,137.5743,137.5743,137.5743,137.5743,biopower,NEEDS,FOM
5.0,104.6636,0.0,104.6636,104.6636,104.6636,104.6636,104.6636,coal-IGCC,NEEDS,FOM
226.0,38.114540707964636,2.6244065186674863,30.3743,38.7401,39.2412,39.2412,39.3332,coal-new,NEEDS,FOM
16.0,79.69939999999998,1.4676907639293466e-14,79.6994,79.6994,79.6994,79.6994,79.6994,csp-ns,NEEDS,FOM
1962.0,30.226109785932785,0.6131723943453414,29.8528,29.8528,29.8528,31.2334,31.2334,gas-CC,NEEDS,FOM
5858.0,19.134826732672074,0.14500133609838717,19.1246,19.1246,19.1246,19.1246,21.1904,gas-CT,NEEDS,FOM
180.0,95.63309999999953,4.702663202921733e-13,95.6331,95.6331,95.6331,95.6331,95.6331,geothermal,NEEDS,FOM
3842.0,15.228100000000243,2.4339256430184065e-13,15.2281,15.2281,15.2281,15.2281,15.2281,hydro,NEEDS,FOM
1810.0,240.01860000000676,6.7662362287041026e-12,240.0186,240.0186,240.0186,240.0186,240.0186,lfill-gas,NEEDS,FOM
98.0,179.55191020408157,29.213178396181252,126.3451,162.639075,174.51735000000002,183.80825,284.4004,nuclear,NEEDS,FOM
611.0,25.61192749590843,12.24681484598071,0.0,17.5394,34.2708,34.2708,35.406,o-g-s,NEEDS,FOM
148.0,17.662100000000006,7.129554514831573e-15,17.6621,17.6621,17.6621,17.6621,17.6621,pumped-hydro,NEEDS,FOM
1.0,28.8198,,28.8198,28.8198,28.8198,28.8198,28.8198,wind-ofs,NEEDS,FOM
1295.0,28.819800000000065,6.397355120145092e-14,28.8198,28.8198,28.8198,28.8198,28.8198,wind-ons,NEEDS,FOM
442.0,0.8536131221719464,0.3541162832314272,0.395,0.544,0.7165,1.153,1.682,CoalOldScr,ReEDS,VOM
923.0,0.8889382448537403,0.4297816141698919,0.325,0.544,0.716,1.0959999999999999,2.6430000000000002,CoalOldUns,ReEDS,VOM
2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUPV,ReEDS,VOM
1317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UPV,ReEDS,VOM
115.0,3.8191739130434685,0.2552102078497139,3.765,3.765,3.765,3.765,5.011,battery,ReEDS,VOM
256.0,4.402660156249997,2.8756967438317775,1.204,3.005,3.005,5.493249999999999,18.265,biopower,ReEDS,VOM
7.0,2.854142857142857,1.997576901195665,0.534,1.4994999999999998,1.909,4.552,5.433,coal-IGCC,ReEDS,VOM
547.0,0.8821023765996322,0.44348638796813444,0.325,0.522,0.716,1.1400000000000001,2.465,coal-new,ReEDS,VOM
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,csp-ns,ReEDS,VOM
2131.0,2.0837869544814636,1.5656973159288299,0.29100000000000004,0.747,1.7069999999999999,3.516,6.207999999999999,gas-CC,ReEDS,VOM
3449.0,7.080024354885635,12.413777173108185,0.14300000000000002,1.37,2.741,5.482,56.928999999999995,gas-CT,ReEDS,VOM
230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,geothermal,ReEDS,VOM
3930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,ReEDS,VOM
1897.0,6.722698998418498,5.133027534547812,1.3880000000000001,3.217,4.998,8.676,32.181,lfill-gas,ReEDS,VOM
192.0,0.09831249999999996,0.23509130731456046,0.036000000000000004,0.043,0.048,0.055999999999999994,1.222,nuclear,ReEDS,VOM
3919.0,6.085147741771056,10.878797195672101,0.0,1.37,2.741,5.482,56.928999999999995,o-g-s,ReEDS,VOM
187.0,0.06805347593582887,0.5343956664380292,0.0,0.0,0.0,0.0,4.242,pumped-hydro,ReEDS,VOM
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wind-ofs,ReEDS,VOM
1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wind-ons,ReEDS,VOM
277.0,6.199623465703983,2.0349811571052574,1.4625,5.0215,6.034,6.5351,10.8816,CoalOldScr,NEEDS,VOM
471.0,3.952721443736726,2.6258030554939493,1.4625,2.4443,2.9658,3.9476,10.8816,CoalOldUns,NEEDS,VOM
1787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DUPV,NEEDS,VOM
1056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UPV,NEEDS,VOM
115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,battery,NEEDS,VOM
199.0,7.455500000000014,1.4246695515416407e-14,7.4555,7.4555,7.4555,7.4555,7.4555,biopower,NEEDS,VOM
5.0,3.2317,0.0,3.2317,3.2317,3.2317,3.2317,3.2317,coal-IGCC,NEEDS,VOM
226.0,6.034879203539832,1.6530574797726352,4.0397,5.0215,5.0215,6.5351,10.8816,coal-new,NEEDS,VOM
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,csp-ns,NEEDS,VOM
1962.0,2.9844113659530525,0.06504808575780223,2.9454,2.9454,2.9454,3.0886,3.5897,gas-CC,NEEDS,VOM
5858.0,9.721508910891913,0.010051404457977593,9.7208,9.7208,9.7208,9.7208,9.864,gas-CT,NEEDS,VOM
180.0,5.614599999999997,3.5626236385770705e-15,5.6146,5.6146,5.6146,5.6146,5.6146,geothermal,NEEDS,VOM
3842.0,2.7204000000001183,1.1814310602972556e-13,2.7204,2.7204,2.7204,2.7204,2.7204,hydro,NEEDS,VOM
1810.0,6.6885000000001655,1.652468406695067e-13,6.6885,6.6885,6.6885,6.6885,6.6885,lfill-gas,NEEDS,VOM
98.0,0.14661938775510205,0.32964383142965265,0.0711,0.085,0.0929,0.1082,2.4145,nuclear,NEEDS,VOM
611.0,7.843962193126065,16.25405047759652,0.8488,0.8488,0.8488,0.992,45.9297,o-g-s,NEEDS,VOM
148.0,10.400900000000021,2.138866354449472e-14,10.4009,10.4009,10.4009,10.4009,10.4009,pumped-hydro,NEEDS,VOM
1.0,0.0,,0.0,0.0,0.0,0.0,0.0,wind-ofs,NEEDS,VOM
1295.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wind-ons,NEEDS,VOM
