PLPRMFL,NAMEPCAP,PLNOXAN,PLNOXOZ,PLSO2AN,PLCO2AN,PLCH4AN,PLN2OAN,PLCO2EQA,PLHGAN
AB,334.9,399.0,139.0,87.0,6928.0,490237.0,64338.0,22643.0,0.0
BFG,217.9,94.0,39.0,8.0,535715.0,2376.0,577.0,535830.0,0.0
BIT,145473.9000000001,308337.0,113232.0,276731.0,388786894.0,85616806.0,12432412.0,391709525.0,0.0
BLQ,5799.5,12698.0,4753.0,32033.0,2001730.0,2840254.0,717563.0,2139508.0,0.0
COG,213.0,225.0,36.0,4.0,252215.0,9911.0,988.0,252486.0,0.0
DFO,34387.000000000015,30137.0,14293.0,10433.0,4657042.0,340199.0,63472.0,4670744.0,0.0
GEO,4768.799999999999,7.0,3.0,2325.0,1077742.0,0.0,0.0,1077742.0,0.0
JF,278.40000000000003,34.0,1.0,0.0,5883.0,484.0,97.0,5904.0,0.0
KER,1006.5000000000001,96.0,20.0,43.0,15037.0,1081.0,215.0,15082.0,0.0
LFG,2392.0000000000014,0.0,0.0,1938.0,59133.0,4882.0,637.0,59245.0,0.0
LIG,12001.2,29784.0,13001.0,84737.0,42701499.0,9851992.0,1432830.0,43038141.0,0.0
MSW,2703.6,35950.0,15983.0,7116.0,13928836.0,17664658.0,2318728.0,14495134.0,0.0
MWH,4576.799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NG,701706.7999999991,306735.0,150311.0,10817.0,680640071.0,26715013.0,2797799.0,681381705.0,0.0
NUC,117730.30000000003,138.0,80.0,14.0,2084623.0,80761.0,8121.0,2086843.0,0.0
OBG,481.49999999999994,13315.0,5512.0,27.0,44888.0,25235.0,2540.0,45554.0,0.0
OBL,60.4,718.0,317.0,1.0,0.0,3091.0,618.0,131.0,0.0
OBS,84.1,17.0,7.0,2.0,0.0,9451.0,1260.0,306.0,0.0
OG,2082.9,1618.0,519.0,100.0,2643452.0,107457.0,10775.0,2646401.0,0.0
OTH,218.29999999999998,207.0,89.0,954.0,1781.0,322.0,50.0,1785.0,0.0
PC,2937.7999999999997,2772.0,1042.0,23528.0,4194755.0,789034.0,126793.0,4223510.0,0.0
PRG,2342.7,5197.0,1587.0,64.0,3973270.0,118545.0,14066.0,3976846.0,0.0
PUR,393.5,25.0,9.0,1.0,16575.0,638.0,66.0,16592.0,0.0
RC,58382.599999999984,162717.0,63892.0,224451.0,233175252.0,52748427.0,7673889.0,234978011.0,0.0
RFO,17990.3,21740.0,10906.0,41992.0,8788477.0,699807.0,138278.0,8817830.0,0.0
SGC,948.7,769.0,281.0,55.0,3608245.0,330480.0,47121.0,3619397.0,0.0
SUB,122414.59999999999,254967.0,108449.0,374492.0,425030659.0,94550364.0,13751528.0,428261513.0,0.0
SUN,74050.0000000001,161.0,76.0,12.0,81701.0,3656.0,425.0,81801.0,0.0
TDF,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAT,104835.60000000003,126.0,53.0,11.0,7575.0,909.0,154.0,7610.0,0.0
WC,2151.6000000000004,7045.0,2461.0,19756.0,9844749.0,2110640.0,306939.0,9916866.0,0.0
WDL,69.5,161.0,65.0,29.0,8995.0,62167.0,8763.0,11078.0,0.0
WDS,5946.599999999999,12886.0,5336.0,7818.0,1507382.0,13411567.0,1776800.0,1887471.0,0.0
WH,1481.8,43.0,23.0,0.0,16671.0,629.0,63.0,16689.0,0.0
WND,149454.8,16.0,6.0,1.0,835.0,63.0,12.0,837.0,0.0
WO,284.5,3452.0,1478.0,1043.0,738699.0,524415.0,70492.0,755758.0,0.0
